unique_work_number,sanction_amount,sanction_date,work_status,implementing_agency,district
W-1118,15000000.0,2023-08-29,Not Started,Trust,District_5
W-1119,8454751.43,2022-10-14,In Progress,Zila Parishad,District_3
W-1121,2561995.75,2022-10-28,In Progress,Municipal Corporation,District_3
W-1122,17151461.98,2023-05-28,Completed,Municipal Corporation,District_4
W-1123,16844024.1,2023-01-17,In Progress,Gram Panchayat,District_8
W-1124,17208933.78,2023-07-02,In Progress,Zila Parishad,District_9
W-1125,3285854.63,2023-10-11,Delayed,Gram Panchayat,District_2
W-1126,11547023.68,2023-03-29,In Progress,PWD,District_7
W-1127,10802476.3,2023-05-27,Not Started,Gram Panchayat,District_7
W-1128,11427611.74,2023-08-07,In Progress,PWD,District_1
W-1129,7645703.19,2023-12-19,Not Started,Municipal Corporation,District_6
W-1130,15688858.14,2023-06-17,Completed,Zila Parishad,District_9
W-1131,18340660.14,2023-11-12,In Progress,Municipal Corporation,District_4
W-1132,16926913.06,2024-01-01,Not Started,PWD,District_5
W-1133,16547069.23,2023-09-20,Not Started,Zila Parishad,District_5
W-1134,19817902.77,2023-08-28,Completed,PWD,District_5
W-1135,12213341.77,2023-02-24,Delayed,Gram Panchayat,District_4
W-1136,4585310.27,2023-08-17,Completed,PWD,District_4
W-1137,2030427.28,2023-04-25,Delayed,Zila Parishad,District_2
W-1138,16865212.9,2023-07-15,Not Started,Municipal Corporation,District_5
W-1139,14756753.84,2023-12-08,Completed,PWD,District_6
W-1140,12179847.56,2023-09-09,In Progress,Zila Parishad,District_2
W-1141,20823212.11,2023-05-11,Delayed,Gram Panchayat,District_4
W-1142,4943946.43,2023-10-23,Delayed,Zila Parishad,District_8
W-1143,12111056.33,2023-03-17,Delayed,PWD,District_8
W-1145,5984584.59,2023-04-09,Not Started,PWD,District_1
W-1146,9682681.33,2024-01-06,In Progress,Gram Panchayat,District_8
W-1147,13095824.51,2023-08-31,Not Started,Municipal Corporation,District_9
W-1148,7330867.91,2023-10-28,In Progress,Gram Panchayat,District_2
W-1149,13951697.46,2023-08-05,Delayed,Municipal Corporation,District_3
W-1150,18749838.67,2023-11-30,In Progress,PWD,District_8
W-1151,17874241.88,2023-04-17,In Progress,Zila Parishad,District_9
W-1152,15000000.0,2023-02-24,Delayed,Trust,District_5
W-1153,9096828.21,2023-06-17,Delayed,Zila Parishad,District_9
W-1154,12483519.07,2023-12-04,In Progress,Zila Parishad,District_2
W-1155,1890962.45,2022-05-17,In Progress,PWD,District_4
W-1156,12769230.92,2024-03-04,Not Started,Gram Panchayat,District_6
W-1157,8320930.2,2023-04-18,In Progress,Zila Parishad,District_6
W-1158,1584249.18,2022-12-26,In Progress,PWD,District_3
W-1159,8092836.62,2023-09-18,Delayed,Municipal Corporation,District_7
W-1161,3370287.3,2023-05-08,Completed,Zila Parishad,District_8
W-1162,10819947.71,2023-06-05,Not Started,Gram Panchayat,District_2
W-1163,3858782.2,2024-01-31,Delayed,Municipal Corporation,District_1
W-1164,18403211.57,2023-07-15,Delayed,PWD,District_8
W-1165,4005782.64,2023-09-20,Not Started,PWD,District_6
W-1166,7122250.87,2023-11-17,Not Started,Zila Parishad,District_8
W-1167,12140638.61,2023-05-26,Delayed,PWD,District_9
W-1168,1186497.77,2023-06-19,Delayed,PWD,District_3
W-1169,18993163.97,2022-07-15,In Progress,Municipal Corporation,District_9
W-1170,1981584.29,2023-08-12,In Progress,Municipal Corporation,District_3
W-1171,5279349.59,2023-10-25,Completed,PWD,District_2
W-1172,15335440.41,2024-01-30,Delayed,Municipal Corporation,District_4
W-1174,6200509.54,2024-01-04,In Progress,Gram Panchayat,District_8
W-1175,8690923.56,2023-04-24,Not Started,Municipal Corporation,District_2
W-1176,3180020.49,2023-10-02,Delayed,Zila Parishad,District_4
W-1177,13548657.82,2023-06-18,Completed,Gram Panchayat,District_7
W-1178,18987558.26,2023-06-12,Not Started,Zila Parishad,District_9
W-1179,13316055.9,2023-11-27,Completed,Zila Parishad,District_3
W-1180,10306673.8,2023-04-14,Delayed,Gram Panchayat,District_8
W-1181,7618348.23,2023-12-21,Not Started,Municipal Corporation,District_9
W-1182,4983732.41,2023-07-21,Delayed,PWD,District_2
W-1183,694120.91,2023-04-11,Not Started,Gram Panchayat,District_4
W-1184,16479422.77,2023-04-19,Completed,PWD,District_6
W-1185,18833931.77,2023-04-03,In Progress,PWD,District_1
W-1186,13766941.43,2024-01-17,Not Started,Municipal Corporation,District_7
W-1187,15000000.0,2023-06-30,Not Started,Trust,District_1
W-1188,13790009.29,2022-07-15,In Progress,PWD,District_3
W-1189,17001550.35,2023-09-04,Delayed,Gram Panchayat,District_7
W-1190,12785063.26,2023-06-12,Not Started,Municipal Corporation,District_4
W-1191,9361271.21,2022-07-05,In Progress,Gram Panchayat,District_9
W-1192,2407553.92,2023-11-18,Delayed,PWD,District_3
W-1194,2979474.4,2023-06-15,Delayed,Gram Panchayat,District_2
W-1195,9321625.29,2023-09-17,Not Started,PWD,District_4
W-1196,16967162.42,2023-11-06,Not Started,Gram Panchayat,District_3
W-1197,11900352.53,2024-01-01,Delayed,Gram Panchayat,District_4
W-1198,7755987.74,2023-10-24,Completed,Zila Parishad,District_6
W-1199,9678938.84,2023-06-21,Completed,Municipal Corporation,District_6
W-1200,8965898.8,2023-08-20,Not Started,Gram Panchayat,District_3
W-1201,1556709.76,2023-04-06,In Progress,Zila Parishad,District_1
W-1202,6127033.96,2024-01-30,In Progress,Municipal Corporation,District_6
W-1203,15108236.08,2022-10-30,In Progress,Zila Parishad,District_1
W-1205,14606613.85,2023-02-28,Delayed,PWD,District_2
W-1206,9001680.26,2023-12-25,Completed,Gram Panchayat,District_8
W-1207,4120764.87,2023-09-12,Delayed,PWD,District_5
W-1208,14945354.56,2023-04-09,In Progress,Gram Panchayat,District_2
W-1210,7195934.19,2023-07-05,In Progress,Zila Parishad,District_9
W-1211,3517336.34,2023-07-16,Not Started,Gram Panchayat,District_7
W-1212,2729868.81,2023-12-01,Delayed,PWD,District_9
W-1213,16106503.47,2023-09-11,In Progress,Gram Panchayat,District_9
W-1214,6897223.53,2023-02-02,Completed,Zila Parishad,District_2
W-1215,4715315.71,2023-02-26,In Progress,Municipal Corporation,District_1
W-1216,7869902.49,2023-08-13,Delayed,PWD,District_6
W-1217,14528518.35,2023-04-09,Not Started,Gram Panchayat,District_9
W-1218,12068545.96,2023-10-06,Not Started,Gram Panchayat,District_3
W-1219,11925937.23,2023-08-20,Not Started,Municipal Corporation,District_2
W-1220,15818532.04,2023-04-28,Delayed,Zila Parishad,District_1
W-1221,15245221.81,2023-09-13,Completed,Zila Parishad,District_1
W-1222,10509916.86,2022-09-24,In Progress,PWD,District_2
W-1223,17043493.53,2023-07-13,Delayed,PWD,District_6
W-1224,8642930.12,2023-08-23,In Progress,Zila Parishad,District_3
W-1225,20943043.49,2023-12-24,Delayed,Municipal Corporation,District_2
W-1227,5879633.07,2023-06-16,Delayed,Gram Panchayat,District_5
W-1228,7063180.97,2024-01-06,In Progress,PWD,District_2
W-1229,4241110.05,2023-12-19,Completed,Gram Panchayat,District_5
W-1230,9822241.8,2023-06-26,Not Started,Municipal Corporation,District_9
W-1231,4307744.38,2023-10-19,In Progress,Gram Panchayat,District_5
W-1232,15125404.78,2023-08-10,Completed,Gram Panchayat,District_5
W-1233,4237965.93,2023-08-20,Not Started,PWD,District_5
W-1234,11775385.37,2024-01-12,Completed,Municipal Corporation,District_6
W-1235,861341.17,2023-08-08,In Progress,Zila Parishad,District_6
W-1236,9712544.41,2023-10-15,Not Started,Municipal Corporation,District_5
W-1237,6738376.21,2023-05-14,Completed,Municipal Corporation,District_7
W-1238,15658105.8,2024-03-19,In Progress,PWD,District_1
W-1239,1502192.63,2023-07-23,Delayed,Zila Parishad,District_8
W-1240,13108033.41,2022-01-03,In Progress,Municipal Corporation,District_9
W-1241,8924139.54,2023-10-24,In Progress,Gram Panchayat,District_1
W-1242,14853331.41,2023-08-25,In Progress,Zila Parishad,District_3
W-1243,2462457.57,2023-02-23,In Progress,Gram Panchayat,District_9
W-1244,13997989.12,2023-09-12,Not Started,Municipal Corporation,District_3
W-1246,17211793.16,2023-10-20,Not Started,PWD,District_6
W-1247,12910532.12,2023-12-12,Completed,PWD,District_8
W-1248,19496980.62,2023-12-31,Not Started,PWD,District_2
W-1249,4075434.33,2022-07-28,In Progress,Municipal Corporation,District_1
W-1250,12016082.37,2024-02-13,In Progress,Municipal Corporation,District_2
W-1251,4970907.79,2023-12-04,Completed,Municipal Corporation,District_8
W-1252,9984298.06,2023-09-13,In Progress,Gram Panchayat,District_1
W-1253,9170558.67,2023-12-19,Not Started,Municipal Corporation,District_6
W-1254,16535814.0,2023-08-01,Not Started,Municipal Corporation,District_9
W-1255,8015195.22,2023-08-02,In Progress,Zila Parishad,District_4
W-1257,744909.91,2023-12-25,Delayed,Municipal Corporation,District_7
W-1258,15401947.0,2023-06-25,Delayed,PWD,District_1
W-1259,6421484.64,2023-03-25,Not Started,PWD,District_3
W-1260,13245885.31,2023-09-26,Completed,PWD,District_9
W-1261,2567213.67,2023-05-27,Completed,PWD,District_1
W-1263,15000000.0,2023-07-29,Not Started,Trust,District_6
W-1264,18464386.02,2023-07-21,Delayed,Gram Panchayat,District_8
W-1265,10421121.65,2023-11-09,Delayed,Municipal Corporation,District_2
W-1266,7694767.36,2024-02-09,In Progress,Municipal Corporation,District_4
W-1267,823296.96,2023-09-19,Completed,PWD,District_5
W-1268,3702423.26,2023-03-25,Delayed,Municipal Corporation,District_5
W-1269,11112844.89,2023-09-23,In Progress,Gram Panchayat,District_2
W-1270,17119196.36,2023-07-14,In Progress,Municipal Corporation,District_3
W-1271,10289603.67,2023-10-14,Delayed,Zila Parishad,District_5
W-1273,16460960.9,2023-05-15,Completed,Zila Parishad,District_4
W-1275,12275720.96,2023-07-14,In Progress,Municipal Corporation,District_3
W-1276,10666835.99,2023-03-29,In Progress,Zila Parishad,District_7
W-1277,1607013.37,2023-08-19,Not Started,Gram Panchayat,District_2
W-1278,11024911.33,2023-09-26,Delayed,Gram Panchayat,District_1
W-1279,8893351.77,2023-05-16,In Progress,Zila Parishad,District_8
W-1280,18021155.16,2024-02-15,Not Started,Municipal Corporation,District_8
W-1281,17872678.2,2023-12-25,In Progress,Zila Parishad,District_5
W-1282,15033219.61,2023-03-19,In Progress,Zila Parishad,District_1
W-1283,4205436.58,2024-02-29,Completed,Gram Panchayat,District_3
W-1284,15967060.74,2023-09-19,Not Started,Zila Parishad,District_6
W-1285,3866240.11,2023-07-05,Completed,Gram Panchayat,District_6
W-1286,15000000.0,2023-06-03,Delayed,Trust,District_9
W-1287,9162022.84,2024-02-16,Delayed,Municipal Corporation,District_2
W-1288,10426212.92,2023-10-25,Delayed,Zila Parishad,District_9
W-1289,4149774.55,2023-06-11,Not Started,Zila Parishad,District_6
W-1290,14499371.4,2024-03-22,Completed,Municipal Corporation,District_3
W-1291,3256707.42,2023-12-27,Delayed,PWD,District_2
W-1292,3521676.05,2023-10-07,Completed,Gram Panchayat,District_7
W-1293,16614585.77,2023-07-24,Completed,Gram Panchayat,District_5
W-1294,8985149.74,2022-10-29,In Progress,Gram Panchayat,District_3
W-1295,15000000.0,2022-11-28,In Progress,Trust,District_3
W-1296,6412363.16,2022-06-28,In Progress,Municipal Corporation,District_6
W-1297,11650074.63,2023-08-02,In Progress,PWD,District_8
W-1298,3117512.85,2024-01-27,Delayed,Gram Panchayat,District_7
W-1299,15000000.0,2022-06-21,In Progress,Trust,District_4
W-1300,17373891.83,2023-08-29,Completed,PWD,District_9
W-1301,14617660.16,2022-08-27,In Progress,Gram Panchayat,District_4
W-1302,15000000.0,2023-11-12,Delayed,Trust,District_1
W-1303,12177887.35,2023-11-19,Completed,Gram Panchayat,District_2
W-1306,16049924.19,2024-02-28,Completed,Gram Panchayat,District_1
W-1307,14752553.32,2022-11-11,In Progress,PWD,District_6
W-1308,20778091.04,2023-09-22,Delayed,Municipal Corporation,District_5
W-1309,14654018.81,2023-06-02,Completed,PWD,District_3
W-1310,1051255.09,2023-07-19,Completed,Municipal Corporation,District_6
W-1311,17916635.36,2023-05-17,In Progress,Gram Panchayat,District_9
W-1312,5124806.27,2023-06-03,Not Started,Zila Parishad,District_2
W-1313,16070396.28,2023-12-02,Not Started,Gram Panchayat,District_5
W-1314,16214976.27,2023-12-02,Completed,Gram Panchayat,District_6
W-1315,15000000.0,2023-11-16,In Progress,Trust,District_5
W-1316,15471257.99,2023-01-27,Delayed,PWD,District_4
W-1317,15546060.66,2023-02-12,Not Started,Municipal Corporation,District_2
W-1318,11249295.58,2023-12-21,Delayed,Zila Parishad,District_4
W-1319,2420426.18,2024-01-16,Delayed,PWD,District_1
W-1320,14231217.4,2023-11-10,Not Started,Municipal Corporation,District_4
W-1322,5358861.75,2024-02-12,Delayed,Gram Panchayat,District_6
W-1323,12312399.65,2023-11-17,Not Started,Municipal Corporation,District_2
W-1324,8665578.23,2024-02-01,Delayed,Zila Parishad,District_3
W-1325,879534.42,2023-04-27,In Progress,Gram Panchayat,District_8
W-1326,2237324.44,2024-01-07,Completed,Gram Panchayat,District_8
W-1327,12458081.57,2024-03-25,In Progress,Gram Panchayat,District_6
W-1329,17473206.02,2023-07-02,Completed,Gram Panchayat,District_3
W-1330,3443429.34,2023-07-14,Completed,Gram Panchayat,District_2
W-1331,5600960.65,2024-03-17,Not Started,Municipal Corporation,District_4
W-1333,13374476.36,2023-12-03,Delayed,Zila Parishad,District_4
W-1334,7735422.42,2023-07-12,Delayed,Municipal Corporation,District_3
W-1335,6609366.92,2023-07-22,In Progress,Zila Parishad,District_6
W-1336,13952151.27,2022-10-17,In Progress,Gram Panchayat,District_3
W-1337,18508921.3,2023-08-23,Completed,Municipal Corporation,District_4
W-1338,1284355.49,2023-03-25,Completed,Gram Panchayat,District_7
W-1339,19369410.24,2022-10-30,In Progress,Zila Parishad,District_4
W-1340,9034768.41,2023-08-06,Not Started,Municipal Corporation,District_6
W-1341,1675214.09,2024-02-14,Completed,PWD,District_6
W-1342,12310628.86,2023-02-26,Delayed,Gram Panchayat,District_5
W-1343,3817438.29,2023-08-28,Not Started,PWD,District_4
W-1344,1902077.02,2023-11-27,Completed,Municipal Corporation,District_3
W-1345,10250866.8,2023-03-11,In Progress,PWD,District_5
W-1346,8695324.16,2023-07-10,Completed,PWD,District_1
W-1347,12083340.99,2023-11-17,In Progress,Gram Panchayat,District_7
W-1348,1815737.24,2023-04-18,Completed,Zila Parishad,District_4
W-1349,1589940.85,2023-07-20,Not Started,Municipal Corporation,District_3
W-1350,1632920.97,2023-05-01,Delayed,Zila Parishad,District_3
W-1351,10463719.82,2023-03-30,Completed,Gram Panchayat,District_3
W-1352,2824174.15,2024-03-07,Not Started,PWD,District_8
W-1354,18656793.0,2023-12-22,Completed,Zila Parishad,District_8
W-1355,16631014.98,2023-03-24,In Progress,PWD,District_2
W-1356,14374675.95,2023-05-24,Delayed,Gram Panchayat,District_1
W-1358,7386349.28,2023-06-10,In Progress,PWD,District_7
W-1360,11944127.86,2022-12-23,In Progress,Gram Panchayat,District_9
W-1361,2481879.96,2023-04-23,Not Started,Gram Panchayat,District_9
W-1362,905430.29,2023-09-08,Not Started,Municipal Corporation,District_1
W-1363,4317583.35,2024-01-14,Completed,Zila Parishad,District_9
W-1364,12709614.94,2024-01-13,Delayed,Gram Panchayat,District_9
W-1365,19542010.18,2023-06-08,Not Started,Gram Panchayat,District_9
W-1366,16757773.49,2022-10-11,In Progress,PWD,District_5
W-1367,12954232.79,2023-10-14,Completed,Zila Parishad,District_7
W-1368,5051921.52,2023-01-17,In Progress,Zila Parishad,District_3
W-1370,11941813.02,2023-02-27,Completed,PWD,District_8
W-1372,20090939.42,2022-11-08,In Progress,Zila Parishad,District_6
W-1374,9884833.63,2023-08-09,Delayed,PWD,District_2
W-1375,18220081.25,2023-05-04,In Progress,Gram Panchayat,District_1
W-1376,7376660.21,2023-06-19,Not Started,Gram Panchayat,District_4
W-1377,11893388.37,2023-07-02,Completed,PWD,District_6
W-1378,11540112.48,2024-03-03,Not Started,Gram Panchayat,District_7
W-1379,9805302.19,2023-05-23,In Progress,Municipal Corporation,District_5
W-1380,7394422.74,2023-11-16,Delayed,PWD,District_8
W-1381,9645170.04,2023-03-11,Not Started,PWD,District_7
W-1382,16390160.35,2023-12-03,In Progress,Gram Panchayat,District_2
W-1383,6551352.04,2023-12-27,In Progress,Municipal Corporation,District_3
W-1384,2478095.5,2023-03-10,In Progress,Municipal Corporation,District_6
W-1385,3852276.28,2022-09-15,In Progress,Zila Parishad,District_8
W-1386,17832947.81,2023-09-24,Completed,PWD,District_1
W-1387,12353763.14,2023-12-02,In Progress,PWD,District_2
W-1388,1237457.97,2023-06-19,In Progress,Gram Panchayat,District_7
W-1389,20017283.41,2023-04-19,Not Started,Municipal Corporation,District_3
W-1390,11238910.39,2023-06-08,Not Started,Municipal Corporation,District_4
W-1391,3993691.85,2023-10-03,Not Started,Gram Panchayat,District_8
W-1393,7854794.38,2023-07-15,Not Started,Gram Panchayat,District_1
W-1394,3517929.89,2023-05-13,Completed,PWD,District_8
W-1395,15580634.81,2023-12-11,Completed,Gram Panchayat,District_9
W-1396,7046870.14,2023-08-23,Delayed,Zila Parishad,District_3
W-1397,13540607.41,2023-06-05,Delayed,Zila Parishad,District_8
W-1398,5143473.01,2023-09-04,In Progress,PWD,District_7
W-1399,5278846.33,2023-05-24,Not Started,PWD,District_5
W-1402,11035797.95,2022-01-02,In Progress,PWD,District_5
W-1403,15572099.88,2023-03-22,Not Started,Zila Parishad,District_6
W-1404,2690960.48,2023-05-25,Not Started,Gram Panchayat,District_5
W-1405,4591213.56,2023-09-02,Completed,PWD,District_2
W-1406,1301553.58,2023-12-13,In Progress,PWD,District_2
W-1407,10424927.55,2023-04-14,Delayed,Zila Parishad,District_8
W-1409,12106096.57,2023-09-10,Completed,Gram Panchayat,District_5
W-1410,5699597.08,2023-04-27,Delayed,Gram Panchayat,District_2
W-1412,18778234.55,2023-04-03,Delayed,Municipal Corporation,District_2
W-1413,15527216.41,2024-01-24,Not Started,Zila Parishad,District_9
W-1415,17833727.66,2023-08-17,Delayed,PWD,District_7
W-1416,16494005.8,2024-01-05,In Progress,PWD,District_9
W-1417,4323164.41,2023-12-20,In Progress,Zila Parishad,District_7
W-1418,9405634.81,2023-05-08,Completed,Gram Panchayat,District_8
W-1419,4661054.87,2023-03-27,Delayed,Municipal Corporation,District_2
W-1421,17490746.63,2023-07-16,Not Started,Municipal Corporation,District_8
W-1422,15980139.49,2023-06-21,Delayed,Municipal Corporation,District_4
W-1423,8929501.59,2023-07-30,In Progress,Zila Parishad,District_7
W-1424,6943487.96,2023-09-02,In Progress,PWD,District_7
W-1425,11666599.59,2023-10-16,Completed,Zila Parishad,District_5
W-1426,11531096.29,2023-05-22,In Progress,Municipal Corporation,District_3
W-1427,18148807.19,2023-07-31,Completed,Gram Panchayat,District_8
W-1429,19197959.54,2022-12-25,In Progress,Municipal Corporation,District_5
W-1430,10109024.75,2023-10-18,Completed,Zila Parishad,District_3
W-1431,14262292.51,2023-04-06,Completed,Zila Parishad,District_4
W-1432,17111265.1,2024-02-27,Not Started,Municipal Corporation,District_8
W-1433,14235619.97,2023-04-19,In Progress,Zila Parishad,District_6
W-1434,5688458.47,2023-04-05,Delayed,Zila Parishad,District_9
W-1435,6935895.34,2023-05-29,Delayed,Zila Parishad,District_6
W-1436,7236246.26,2023-10-22,In Progress,PWD,District_1
W-1437,13659239.21,2023-10-26,Completed,Zila Parishad,District_5
W-1438,11203130.51,2023-08-20,Delayed,Gram Panchayat,District_4
W-1439,15898184.27,2023-11-24,Completed,Gram Panchayat,District_8
W-1440,17237389.2,2023-08-26,Delayed,Gram Panchayat,District_6
W-1441,5219930.95,2023-12-05,Delayed,PWD,District_9
W-1442,6868146.84,2023-02-23,Completed,Gram Panchayat,District_7
W-1443,13977794.09,2023-06-28,Completed,Municipal Corporation,District_6
W-1444,9878473.7,2023-09-02,Completed,Zila Parishad,District_2
W-1445,8579257.53,2023-04-10,Not Started,Municipal Corporation,District_7
W-1446,14376943.74,2023-01-23,Not Started,Gram Panchayat,District_6
W-1447,11543286.72,2022-07-14,In Progress,Municipal Corporation,District_4
W-1448,18227105.93,2022-10-07,In Progress,PWD,District_5
W-1449,15000000.0,2024-03-02,Delayed,Trust,District_5
W-1451,8747751.75,2023-10-21,Completed,Zila Parishad,District_6
W-1452,15000000.0,2023-11-27,Delayed,Trust,District_9
W-1453,11985004.35,2023-12-14,Delayed,Zila Parishad,District_6
W-1454,3112573.05,2024-01-30,Not Started,PWD,District_5
W-1457,3128682.72,2023-03-02,Not Started,Gram Panchayat,District_8
