unique_work_number,amount_spent,vendor_name,payment_date,payment_status
W-1327,25754080.14,MNO Contractors,2024-01-01,Success
W-1328,9079700.04,XYZ Builders,2024-01-01,Success
W-1331,2185366.18,PQR Engineering,2024-01-01,Success
W-1332,3949436.36,ABC Construction,2024-01-01,Success
W-1335,11277608.55,XYZ Builders,2024-01-01,Success
W-1336,5632131.66,ABC Construction,2024-01-01,Success
W-1338,4662759.54,ABC Construction,2024-01-01,Success
W-1340,5372514.51,ABC Construction,2024-01-01,Success
W-1341,17201050.73,ABC Construction,2024-01-01,Success
W-1343,15918947.01,PQR Engineering,2024-01-01,Success
W-1346,5978919.14,MNO Contractors,2024-01-01,Success
W-1349,17657995.95,MNO Contractors,2024-01-01,Success
W-1352,22192330.82,XYZ Builders,2024-01-01,Success
W-1353,16139158.06,PQR Engineering,2024-01-01,Success
W-1357,998233.16,ABC Construction,2024-01-01,Success
W-1359,1251208.8,MNO Contractors,2024-01-01,Success
W-1363,9294727.79,MNO Contractors,2024-01-01,Success
W-1364,8215206.08,ABC Construction,2024-01-01,Success
W-1366,8313598.63,XYZ Builders,2024-01-01,Success
W-1367,1140023.22,PQR Engineering,2024-01-01,Success
W-1368,1814031.01,ABC Construction,2024-01-01,Success
W-1374,15015954.89,MNO Contractors,2024-01-01,Success
W-1375,2299353.12,PQR Engineering,2024-01-01,Success
W-1377,850248.2,XYZ Builders,2024-01-01,Success
W-1378,2208447.85,PQR Engineering,2024-01-01,Success
W-1381,4849444.95,MNO Contractors,2024-01-01,Success
W-1382,5425136.05,ABC Construction,2024-01-01,Success
W-1388,6524495.28,ABC Construction,2024-01-01,Success
W-1394,1298950.64,PQR Engineering,2024-01-01,Success
W-1396,6698278.24,PQR Engineering,2024-01-01,Success
W-1398,2257968.2,MNO Contractors,2024-01-01,Success
W-1399,9291777.97,ABC Construction,2024-01-01,Success
W-1401,6460087.5,PQR Engineering,2024-01-01,Success
W-1402,6863550.93,XYZ Builders,2024-01-01,Success
W-1403,11702624.21,ABC Construction,2024-01-01,Success
W-1406,155155.76,MNO Contractors,2024-01-01,Success
W-1408,14247105.76,MNO Contractors,2024-01-01,Success
W-1409,11673438.03,XYZ Builders,2024-01-01,Success
W-1413,617574.25,XYZ Builders,2024-01-01,Success
W-1414,7383288.72,MNO Contractors,2024-01-01,Success
W-1415,2057863.07,MNO Contractors,2024-01-01,Success
W-1417,5637253.56,ABC Construction,2024-01-01,Success
W-1420,6316560.54,MNO Contractors,2024-01-01,Success
W-1421,8146648.21,ABC Construction,2024-01-01,Success
W-1422,3891622.89,XYZ Builders,2024-01-01,Success
W-1423,4213338.9,PQR Engineering,2024-01-01,Success
W-1424,9449968.2,XYZ Builders,2024-01-01,Success
W-1426,17193484.89,PQR Engineering,2024-01-01,Success
W-1427,18821416.89,MNO Contractors,2024-01-01,Success
W-1429,16314.99,MNO Contractors,2024-01-01,Success
W-1430,29708463.45,XYZ Builders,2024-01-01,Success
W-1431,21884470.08,PQR Engineering,2024-01-01,Success
W-1433,1706824.32,XYZ Builders,2024-01-01,Success
W-1436,17987381.27,XYZ Builders,2024-01-01,Success
W-1437,10352690.93,PQR Engineering,2024-01-01,Success
W-1438,13503397.92,XYZ Builders,2024-01-01,Success
W-1439,480828.79,PQR Engineering,2024-01-01,Success
W-1442,2029228.71,PQR Engineering,2024-01-01,Success
W-1443,9367801.36,MNO Contractors,2024-01-01,Success
W-1444,362887.48,MNO Contractors,2024-01-01,Success
W-1445,2200367.14,XYZ Builders,2024-01-01,Success
W-1446,1930450.76,ABC Construction,2024-01-01,Success
W-1447,834817.1,ABC Construction,2024-01-01,Success
W-1448,11569530.89,ABC Construction,2024-01-01,Success
W-1451,7384278.64,ABC Construction,2024-01-01,Success
W-1452,7850524.87,XYZ Builders,2024-01-01,Success
W-1455,7985419.36,MNO Contractors,2024-01-01,Success
W-1456,622220.65,MNO Contractors,2024-01-01,Success
W-1458,10375889.71,ABC Construction,2024-01-01,Success
W-1459,11634212.4,XYZ Builders,2024-01-01,Success
W-1462,10799349.78,XYZ Builders,2024-01-01,Success
W-1464,944131.82,PQR Engineering,2024-01-01,Success
W-1466,10964502.64,XYZ Builders,2024-01-01,Success
W-1468,5655472.06,ABC Construction,2024-01-01,Success
W-1473,7654737.51,PQR Engineering,2024-01-01,Success
W-1475,15962661.73,XYZ Builders,2024-01-01,Success
W-1476,4411623.82,XYZ Builders,2024-01-01,Success
W-1477,4860920.09,MNO Contractors,2024-01-01,Success
W-1478,3184666.93,ABC Construction,2024-01-01,Success
W-1479,12333708.05,ABC Construction,2024-01-01,Success
W-1480,245033.82,MNO Contractors,2024-01-01,Success
W-1481,9478837.39,XYZ Builders,2024-01-01,Success
W-1482,7987801.73,MNO Contractors,2024-01-01,Success
W-1484,11508356.42,MNO Contractors,2024-01-01,Success
W-1487,18006077.62,PQR Engineering,2024-01-01,Success
W-1488,3296642.2,MNO Contractors,2024-01-01,Success
W-1491,14086212.77,ABC Construction,2024-01-01,Success
W-1494,18736185.34,MNO Contractors,2024-01-01,Success
W-1495,1227555.91,XYZ Builders,2024-01-01,Success
W-1496,18265316.2,XYZ Builders,2024-01-01,Success
W-1497,10466193.97,ABC Construction,2024-01-01,Success
W-1499,719374.56,ABC Construction,2024-01-01,Success
W-1511,1573449.25,MNO Contractors,2024-01-01,Success
W-1512,3849827.1,MNO Contractors,2024-01-01,Success
W-1513,2504512.62,ABC Construction,2024-01-01,Success
W-1514,7280452.47,MNO Contractors,2024-01-01,Success
W-1516,17116887.22,MNO Contractors,2024-01-01,Success
W-1517,16994951.51,MNO Contractors,2024-01-01,Success
W-1518,3306702.72,MNO Contractors,2024-01-01,Success
W-1519,3351497.3,ABC Construction,2024-01-01,Success
W-1522,7250643.45,ABC Construction,2024-01-01,Success
W-1524,14198375.05,ABC Construction,2024-01-01,Success
W-1526,13066017.76,PQR Engineering,2024-01-01,Success
W-1532,4815435.68,PQR Engineering,2024-01-01,Success
W-1534,12972702.4,ABC Construction,2024-01-01,Success
W-1536,8761092.52,ABC Construction,2024-01-01,Success
W-1538,216990.89,XYZ Builders,2024-01-01,Success
W-1540,7433712.88,ABC Construction,2024-01-01,Success
W-1541,43972.81,ABC Construction,2024-01-01,Success
W-1542,625406.86,MNO Contractors,2024-01-01,Success
W-1543,9389808.36,MNO Contractors,2024-01-01,Success
W-1548,1679573.26,XYZ Builders,2024-01-01,Success
W-1550,13051669.18,PQR Engineering,2024-01-01,Success
W-1551,614616.26,MNO Contractors,2024-01-01,Success
W-1553,6244029.29,PQR Engineering,2024-01-01,Success
W-1554,10302265.03,ABC Construction,2024-01-01,Success
W-1555,2688486.31,XYZ Builders,2024-01-01,Success
W-1557,1801829.9,MNO Contractors,2024-01-01,Success
W-1558,831244.91,PQR Engineering,2024-01-01,Success
W-1559,14932775.54,PQR Engineering,2024-01-01,Success
W-1560,5545289.48,PQR Engineering,2024-01-01,Success
W-1562,4695533.45,ABC Construction,2024-01-01,Success
W-1563,3503557.74,ABC Construction,2024-01-01,Success
W-1564,5730509.43,PQR Engineering,2024-01-01,Success
W-1566,6257002.62,ABC Construction,2024-01-01,Success
W-1567,5227166.17,MNO Contractors,2024-01-01,Success
W-1569,2743804.2,PQR Engineering,2024-01-01,Success
W-1570,3743626.04,MNO Contractors,2024-01-01,Success
W-1571,848740.93,MNO Contractors,2024-01-01,Success
W-1575,21210931.79,ABC Construction,2024-01-01,Success
W-1576,3872302.16,XYZ Builders,2024-01-01,Success
W-1578,13350290.75,MNO Contractors,2024-01-01,Success
W-1581,2657670.75,PQR Engineering,2024-01-01,Success
W-1583,8878131.51,MNO Contractors,2024-01-01,Success
W-1584,2691753.16,ABC Construction,2024-01-01,Success
W-1586,3364855.54,MNO Contractors,2024-01-01,Success
W-1587,2986902.05,ABC Construction,2024-01-01,Success
W-1588,1007529.17,MNO Contractors,2024-01-01,Success
W-1590,6000863.29,ABC Construction,2024-01-01,Success
W-1593,19978734.58,ABC Construction,2024-01-01,Success
W-1595,6287120.54,ABC Construction,2024-01-01,Success
W-1598,5736676.27,MNO Contractors,2024-01-01,Success
W-1607,24936500.65,ABC Construction,2024-01-01,Success
W-1610,18890581.63,XYZ Builders,2024-01-01,Success
W-1614,5620194.11,ABC Construction,2024-01-01,Success
W-1616,2774876.19,PQR Engineering,2024-01-01,Success
W-1617,1188390.42,XYZ Builders,2024-01-01,Success
W-1620,15261385.9,ABC Construction,2024-01-01,Success
W-1621,2410020.6,ABC Construction,2024-01-01,Success
W-1622,6908633.21,ABC Construction,2024-01-01,Success
W-1623,11032149.5,ABC Construction,2024-01-01,Success
W-1627,14190317.23,ABC Construction,2024-01-01,Success
W-1630,14563133.22,ABC Construction,2024-01-01,Success
W-1631,4201261.12,PQR Engineering,2024-01-01,Success
W-1637,15577377.71,XYZ Builders,2024-01-01,Success
W-1639,2911580.37,XYZ Builders,2024-01-01,Success
W-1640,7062747.87,ABC Construction,2024-01-01,Success
W-1641,17307275.28,PQR Engineering,2024-01-01,Success
W-1642,3791201.66,ABC Construction,2024-01-01,Success
W-1643,10048283.05,ABC Construction,2024-01-01,Success
W-1645,724990.02,PQR Engineering,2024-01-01,Success
W-1646,20318505.99,MNO Contractors,2024-01-01,Success
W-1648,8962069.67,ABC Construction,2024-01-01,Success
W-1650,3238519.58,XYZ Builders,2024-01-01,Success
W-1651,11432535.76,XYZ Builders,2024-01-01,Success
W-1654,5385676.76,ABC Construction,2024-01-01,Success
W-1656,15134635.06,ABC Construction,2024-01-01,Success
W-1659,6739188.05,ABC Construction,2024-01-01,Success
W-1661,8074411.14,ABC Construction,2024-01-01,Success
W-1663,17376505.84,MNO Contractors,2024-01-01,Success
W-1666,15703067.67,MNO Contractors,2024-01-01,Success
W-1667,4013693.87,PQR Engineering,2024-01-01,Success
W-1668,8448224.39,PQR Engineering,2024-01-01,Success
W-1670,1261447.85,ABC Construction,2024-01-01,Success
W-1671,15438446.47,ABC Construction,2024-01-01,Success
W-1672,12001978.1,XYZ Builders,2024-01-01,Success
W-1674,5782215.47,XYZ Builders,2024-01-01,Success
W-1678,1226168.93,XYZ Builders,2024-01-01,Success
W-1679,4340443.96,MNO Contractors,2024-01-01,Success
W-1681,1709354.66,PQR Engineering,2024-01-01,Success
W-1682,1283538.64,ABC Construction,2024-01-01,Success
W-1684,2679928.47,PQR Engineering,2024-01-01,Success
W-1686,4225815.31,ABC Construction,2024-01-01,Success
W-1687,7604848.37,ABC Construction,2024-01-01,Success
W-1690,6815705.35,PQR Engineering,2024-01-01,Success
W-1694,10084216.61,XYZ Builders,2024-01-01,Success
W-1695,6771390.58,MNO Contractors,2024-01-01,Success
W-1696,2292883.06,MNO Contractors,2024-01-01,Success
W-1697,17884184.43,MNO Contractors,2024-01-01,Success
W-1699,1508823.02,ABC Construction,2024-01-01,Success
W-1700,9419253.08,XYZ Builders,2024-01-01,Success
W-1701,19061374.54,ABC Construction,2024-01-01,Success
W-1704,607070.15,XYZ Builders,2024-01-01,Success
W-1705,11788793.84,XYZ Builders,2024-01-01,Success
W-1706,14544095.65,PQR Engineering,2024-01-01,Success
W-1708,10444737.8,MNO Contractors,2024-01-01,Success
W-1710,7051853.11,PQR Engineering,2024-01-01,Success
W-1713,18164520.99,PQR Engineering,2024-01-01,Success
W-1715,3569877.1,PQR Engineering,2024-01-01,Success
W-1719,8529706.32,MNO Contractors,2024-01-01,Success
W-1726,16560468.15,MNO Contractors,2024-01-01,Success
W-1727,11808676.48,MNO Contractors,2024-01-01,Success
W-1734,6790438.93,PQR Engineering,2024-01-01,Success
W-1738,4312231.06,ABC Construction,2024-01-01,Success
W-1739,4614695.62,PQR Engineering,2024-01-01,Success
W-1745,2846126.58,ABC Construction,2024-01-01,Success
W-1748,6792779.46,PQR Engineering,2024-01-01,Success
W-1751,16289644.72,PQR Engineering,2024-01-01,Success
W-1752,13948963.88,PQR Engineering,2024-01-01,Success
W-1753,4687370.06,PQR Engineering,2024-01-01,Success
W-1754,7675232.16,XYZ Builders,2024-01-01,Success
W-1755,5917462.01,MNO Contractors,2024-01-01,Success
W-1756,6596683.79,PQR Engineering,2024-01-01,Success
W-1757,1417668.3,PQR Engineering,2024-01-01,Success
W-1758,8284483.39,XYZ Builders,2024-01-01,Success
W-1759,9842155.38,XYZ Builders,2024-01-01,Success
W-1761,5490503.98,MNO Contractors,2024-01-01,Success
W-1764,9994342.21,ABC Construction,2024-01-01,Success
W-1765,4448513.41,PQR Engineering,2024-01-01,Success
W-1770,1921022.06,ABC Construction,2024-01-01,Success
W-1771,815759.84,ABC Construction,2024-01-01,Success
W-1773,9201779.95,MNO Contractors,2024-01-01,Success
W-1774,1263276.75,ABC Construction,2024-01-01,Success
W-1775,20430465.49,PQR Engineering,2024-01-01,Success
W-1776,5349845.25,MNO Contractors,2024-01-01,Success
W-1777,3120366.27,PQR Engineering,2024-01-01,Success
W-1778,5482220.39,PQR Engineering,2024-01-01,Success
W-1779,1065298.22,PQR Engineering,2024-01-01,Success
W-1781,9071118.06,XYZ Builders,2024-01-01,Success
W-1783,466168.23,PQR Engineering,2024-01-01,Success
W-1784,9689820.28,ABC Construction,2024-01-01,Success
W-1785,1601067.36,ABC Construction,2024-01-01,Success
W-1795,18605853.63,XYZ Builders,2024-01-01,Success
W-1800,20062670.45,ABC Construction,2024-01-01,Success
W-1801,593325.04,ABC Construction,2024-01-01,Success
W-1802,4603279.36,MNO Contractors,2024-01-01,Success
W-1803,12167558.46,XYZ Builders,2024-01-01,Success
W-1804,12733097.19,XYZ Builders,2024-01-01,Success
W-1806,9394282.31,MNO Contractors,2024-01-01,Success
W-1807,6079344.09,PQR Engineering,2024-01-01,Success
W-1809,1262494.3,MNO Contractors,2024-01-01,Success
W-1811,403619.74,MNO Contractors,2024-01-01,Success
W-1813,7723017.62,MNO Contractors,2024-01-01,Success
W-1814,15111962.21,ABC Construction,2024-01-01,Success
W-1816,1284314.18,MNO Contractors,2024-01-01,Success
W-1825,11098760.03,MNO Contractors,2024-01-01,Success
W-1826,11171862.69,PQR Engineering,2024-01-01,Success
W-1831,16336187.03,XYZ Builders,2024-01-01,Success
W-1832,7502400.84,XYZ Builders,2024-01-01,Success
W-1834,13745380.49,PQR Engineering,2024-01-01,Success
W-1837,4306451.66,MNO Contractors,2024-01-01,Success
W-1840,13578916.97,XYZ Builders,2024-01-01,Success
W-1842,357672.18,MNO Contractors,2024-01-01,Success
W-1844,10689215.1,XYZ Builders,2024-01-01,Success
W-1847,4764732.38,PQR Engineering,2024-01-01,Success
W-1848,14717080.44,MNO Contractors,2024-01-01,Success
W-1850,2791071.63,MNO Contractors,2024-01-01,Success
W-1852,19472852.8,XYZ Builders,2024-01-01,Success
W-1853,5571902.05,PQR Engineering,2024-01-01,Success
W-1854,16992110.04,XYZ Builders,2024-01-01,Success
W-1855,9473949.64,MNO Contractors,2024-01-01,Success
W-1858,4472960.2,PQR Engineering,2024-01-01,Success
W-1859,19497920.55,XYZ Builders,2024-01-01,Success
W-1863,5277204.72,ABC Construction,2024-01-01,Success
W-1865,6606576.39,XYZ Builders,2024-01-01,Success
W-1866,17703959.05,ABC Construction,2024-01-01,Success
W-1867,16564911.99,ABC Construction,2024-01-01,Success
W-1869,7080882.37,MNO Contractors,2024-01-01,Success
W-1871,1417919.32,ABC Construction,2024-01-01,Success
W-1872,19997525.87,ABC Construction,2024-01-01,Success
W-1874,28898888.82,PQR Engineering,2024-01-01,Success
W-1878,3089167.98,MNO Contractors,2024-01-01,Success
W-1879,2803706.1,ABC Construction,2024-01-01,Success
W-1881,9231000.0,PQR Engineering,2024-01-01,Success
W-1886,5677253.0,MNO Contractors,2024-01-01,Success
W-1887,193130.34,XYZ Builders,2024-01-01,Success
W-1891,6513117.16,PQR Engineering,2024-01-01,Success
W-1892,3516022.38,MNO Contractors,2024-01-01,Success
W-1893,8050875.12,MNO Contractors,2024-01-01,Success
W-1894,12985928.96,ABC Construction,2024-01-01,Success
W-1895,1172619.34,XYZ Builders,2024-01-01,Success
W-1900,3582841.95,XYZ Builders,2024-01-01,Success
W-1902,13895355.98,XYZ Builders,2024-01-01,Success
W-1903,11858229.84,PQR Engineering,2024-01-01,Success
W-1904,6900013.46,XYZ Builders,2024-01-01,Success
W-1906,1423001.78,XYZ Builders,2024-01-01,Success
W-1907,13384831.77,MNO Contractors,2024-01-01,Success
W-1908,17283993.57,PQR Engineering,2024-01-01,Success
W-1911,8801170.34,ABC Construction,2024-01-01,Success
W-1912,21173536.23,ABC Construction,2024-01-01,Success
W-1916,1134236.04,MNO Contractors,2024-01-01,Success
W-1917,3840712.91,MNO Contractors,2024-01-01,Success
W-1918,674827.41,ABC Construction,2024-01-01,Success
W-1919,5817393.55,XYZ Builders,2024-01-01,Success
W-1920,2522824.94,XYZ Builders,2024-01-01,Success
W-1921,4346537.5,ABC Construction,2024-01-01,Success
W-1923,62924.3,MNO Contractors,2024-01-01,Success
W-1924,14428853.96,PQR Engineering,2024-01-01,Success
W-1926,2714239.88,XYZ Builders,2024-01-01,Success
W-1929,3157973.0,XYZ Builders,2024-01-01,Success
W-1931,7977941.45,ABC Construction,2024-01-01,Success
W-1933,15753382.69,MNO Contractors,2024-01-01,Success
W-1935,6596322.59,MNO Contractors,2024-01-01,Success
W-1937,148286.44,MNO Contractors,2024-01-01,Success
W-1938,12945374.77,ABC Construction,2024-01-01,Success
W-1939,13541152.1,XYZ Builders,2024-01-01,Success
W-1943,1400216.91,XYZ Builders,2024-01-01,Success
W-1944,8549.23,XYZ Builders,2024-01-01,Success
W-1947,10351378.66,PQR Engineering,2024-01-01,Success
W-1950,8644458.72,MNO Contractors,2024-01-01,Success
W-1953,3024936.05,MNO Contractors,2024-01-01,Success
W-1954,17993075.8,ABC Construction,2024-01-01,Success
W-1955,633399.13,MNO Contractors,2024-01-01,Success
W-1956,16966875.59,XYZ Builders,2024-01-01,Success
W-1959,13555688.79,MNO Contractors,2024-01-01,Success
W-1960,5283249.94,MNO Contractors,2024-01-01,Success
W-1964,4614190.94,ABC Construction,2024-01-01,Success
W-1967,7555345.14,MNO Contractors,2024-01-01,Success
W-1969,1364111.89,XYZ Builders,2024-01-01,Success
W-1970,2633309.76,ABC Construction,2024-01-01,Success
W-1971,12554993.86,PQR Engineering,2024-01-01,Success
W-1973,16103027.11,XYZ Builders,2024-01-01,Success
