unique_work_number,mp_name,state,constituency,work_name,work_category,recommended_amount,date_recommended,implementing_agency
W-1033,MP_23,Bihar,Constituency_3,Construction of Sanitation at location 235,Sanitation,2782806.82,2023-11-27,Gram Panchayat
W-1034,MP_29,Bihar,Constituency_5,Construction of Sanitation at location 422,Sanitation,11835455.64,2023-12-05,Zila Parishad
W-1035,MP_27,West Bengal,Constituency_7,Construction of Drinking Water at location 858,Drinking Water,2668350.9,2023-01-19,Zila Parishad
W-1036,MP_3,Maharashtra,Constituency_1,Construction of Sanitation at location 348,Sanitation,8304346.41,2023-07-09,Gram Panchayat
W-1037,MP_37,Kerala,Constituency_11,Construction of Health at location 227,Health,19401399.44,2023-05-27,Municipal Corporation
W-1038,MP_12,West Bengal,Constituency_6,Construction of Health at location 373,Health,3808758.13,2023-01-08,Gram Panchayat
W-1039,MP_9,West Bengal,Constituency_17,Construction of Roads at location 724,Roads,5783674.03,2023-08-08,Gram Panchayat
W-1040,MP_45,Bihar,Constituency_18,Construction of Sanitation at location 119,Sanitation,15663244.53,2023-10-16,Municipal Corporation
W-1041,MP_1,Bihar,Constituency_3,Construction of Sanitation at location 823,Sanitation,13988430.74,2023-01-06,PWD
W-1042,MP_1,Kerala,Constituency_14,Construction of Education at location 685,Education,4540939.16,2023-07-24,PWD
W-1043,MP_1,West Bengal,Constituency_12,Construction of Health at location 389,Health,15940447.87,2023-08-10,Municipal Corporation
W-1044,MP_34,Uttar Pradesh,Constituency_6,Construction of Drinking Water at location 798,Drinking Water,9030760.98,2023-12-01,Zila Parishad
W-1045,MP_5,Bihar,Constituency_17,Construction of Sanitation at location 900,Sanitation,18568458.69,2023-05-18,PWD
W-1046,MP_23,West Bengal,Constituency_15,Construction of Education at location 374,Education,4011311.81,2023-01-08,Gram Panchayat
W-1047,MP_28,Kerala,Constituency_18,Construction of Drinking Water at location 829,Drinking Water,2229699.41,2023-01-22,Municipal Corporation
W-1048,MP_30,Maharashtra,Constituency_15,Construction of Education at location 831,Education,1691020.22,2023-02-17,Municipal Corporation
W-1049,MP_24,Bihar,Constituency_14,Construction of Drinking Water at location 365,Drinking Water,1215322.46,2023-06-03,Municipal Corporation
W-1050,MP_15,Bihar,Constituency_3,Construction of Roads at location 631,Roads,891388.36,2023-01-28,Gram Panchayat
W-1051,MP_36,Maharashtra,Constituency_15,Construction of Drinking Water at location 623,Drinking Water,11937440.98,2023-09-21,Municipal Corporation
W-1052,MP_22,Kerala,Constituency_1,Construction of Sanitation at location 710,Sanitation,5296175.7,2023-03-11,Municipal Corporation
W-1053,MP_37,West Bengal,Constituency_8,Construction of Health at location 920,Health,17983900.13,2023-08-11,PWD
W-1054,MP_45,Bihar,Constituency_19,Construction of Health at location 645,Health,19375884.3,2023-11-22,Gram Panchayat
W-1055,MP_43,Kerala,Constituency_13,Construction of Education at location 673,Education,9358225.46,2023-06-27,Municipal Corporation
W-1056,MP_35,Maharashtra,Constituency_6,Construction of Roads at location 581,Roads,15046503.25,2023-11-14,Gram Panchayat
W-1057,MP_41,Uttar Pradesh,Constituency_11,Construction of Sanitation at location 270,Sanitation,3691290.89,2023-11-12,Gram Panchayat
W-1058,MP_23,West Bengal,Constituency_1,Construction of Roads at location 665,Roads,18041704.18,2023-05-25,Municipal Corporation
W-1059,MP_8,West Bengal,Constituency_19,Construction of Drinking Water at location 448,Drinking Water,17633267.75,2023-01-15,Municipal Corporation
W-1060,MP_10,Uttar Pradesh,Constituency_2,Construction of Sanitation at location 635,Sanitation,7170594.1,2023-11-26,Zila Parishad
W-1061,MP_45,Kerala,Constituency_12,Construction of Drinking Water at location 411,Drinking Water,12169632.67,2023-04-05,PWD
W-1062,MP_25,Bihar,Constituency_18,Construction of Roads at location 623,Roads,17506416.22,2023-04-14,PWD
W-1063,MP_29,Bihar,Constituency_19,Construction of Roads at location 726,Roads,9291367.74,2023-09-24,Gram Panchayat
W-1064,MP_21,West Bengal,Constituency_15,Construction of Roads at location 309,Roads,4508806.26,2023-05-17,PWD
W-1065,MP_43,West Bengal,Constituency_17,Construction of Education at location 876,Education,3246711.9,2023-09-08,Municipal Corporation
W-1066,MP_7,Uttar Pradesh,Constituency_17,Construction of Roads at location 84,Roads,3398923.19,2023-12-27,PWD
W-1067,MP_29,West Bengal,Constituency_13,Construction of Education at location 18,Education,15622788.53,2023-09-14,Municipal Corporation
W-1068,MP_3,Kerala,Constituency_7,Construction of Drinking Water at location 458,Drinking Water,8470316.34,2023-06-11,Municipal Corporation
W-1069,MP_24,Maharashtra,Constituency_3,Construction of Education at location 767,Education,2530117.35,2023-11-24,PWD
W-1070,MP_21,West Bengal,Constituency_5,Construction of Drinking Water at location 7,Drinking Water,2167416.35,2023-11-26,PWD
W-1071,MP_23,Uttar Pradesh,Constituency_3,Construction of Health at location 532,Health,7231246.83,2023-09-18,PWD
W-1072,MP_23,Maharashtra,Constituency_14,Construction of Roads at location 882,Roads,10492924.29,2023-04-25,PWD
W-1073,MP_11,Kerala,Constituency_5,Construction of Drinking Water at location 128,Drinking Water,16393561.35,2023-12-07,Trust
W-1074,MP_27,West Bengal,Constituency_6,Construction of Drinking Water at location 268,Drinking Water,13468215.15,2023-08-25,Zila Parishad
W-1075,MP_36,West Bengal,Constituency_19,Construction of Education at location 794,Education,8091264.47,2023-01-29,PWD
W-1076,MP_36,Kerala,Constituency_1,Construction of Health at location 467,Health,16909828.38,2023-08-15,Gram Panchayat
W-1077,MP_35,Bihar,Constituency_7,Construction of Education at location 498,Education,545618.12,2023-08-17,Gram Panchayat
W-1078,MP_47,Bihar,Constituency_17,Construction of Health at location 318,Health,17522443.8,2023-03-21,PWD
W-1079,MP_15,Bihar,Constituency_12,Construction of Education at location 922,Education,13563390.56,2023-12-31,Municipal Corporation
W-1080,MP_15,Bihar,Constituency_14,Construction of Sanitation at location 519,Sanitation,4255681.04,2023-05-17,Municipal Corporation
W-1081,MP_44,Maharashtra,Constituency_3,Construction of Health at location 813,Health,17757467.95,2023-04-08,Zila Parishad
W-1082,MP_18,Kerala,Constituency_13,Construction of Roads at location 16,Roads,5042709.76,2023-04-18,Municipal Corporation
W-1083,MP_39,Kerala,Constituency_3,Construction of Health at location 29,Health,9857574.6,2023-11-14,Municipal Corporation
W-1084,MP_14,Maharashtra,Constituency_13,Construction of Drinking Water at location 324,Drinking Water,5055351.15,2023-05-26,Municipal Corporation
W-1085,MP_12,Maharashtra,Constituency_4,Construction of Education at location 805,Education,5550161.71,2023-03-02,PWD
W-1086,MP_8,Maharashtra,Constituency_4,Construction of Health at location 861,Health,4996099.32,2023-03-04,Municipal Corporation
W-1087,MP_23,Kerala,Constituency_15,Construction of Roads at location 521,Roads,12146844.41,2023-04-09,Municipal Corporation
W-1088,MP_25,Kerala,Constituency_15,Construction of Roads at location 580,Roads,2283993.33,2023-12-23,Gram Panchayat
W-1089,MP_40,Bihar,Constituency_15,Construction of Roads at location 261,Roads,8464837.65,2023-08-14,Zila Parishad
W-1090,MP_40,Kerala,Constituency_18,Construction of Sanitation at location 224,Sanitation,12051951.8,2023-11-14,PWD
W-1091,MP_41,Uttar Pradesh,Constituency_16,Construction of Sanitation at location 363,Sanitation,14100693.5,2023-02-14,PWD
W-1092,MP_31,Bihar,Constituency_7,Construction of Drinking Water at location 356,Drinking Water,16726616.47,2023-09-15,Gram Panchayat
W-1093,MP_35,Bihar,Constituency_13,Construction of Education at location 414,Education,8928695.29,2023-03-15,Zila Parishad
W-1094,MP_22,Uttar Pradesh,Constituency_12,Construction of Roads at location 906,Roads,1629448.98,2023-07-12,Zila Parishad
W-1095,MP_12,Uttar Pradesh,Constituency_3,Construction of Sanitation at location 907,Sanitation,6810399.27,2023-02-02,Gram Panchayat
W-1096,MP_15,Kerala,Constituency_7,Construction of Sanitation at location 157,Sanitation,4805007.45,2023-03-16,Municipal Corporation
W-1097,MP_16,Maharashtra,Constituency_15,Construction of Sanitation at location 955,Sanitation,8253090.76,2023-03-25,Gram Panchayat
W-1098,MP_18,Maharashtra,Constituency_12,Construction of Health at location 208,Health,19379771.84,2023-01-27,PWD
W-1099,MP_20,West Bengal,Constituency_3,Construction of Roads at location 734,Roads,12167381.67,2023-07-25,PWD
W-1100,MP_11,Bihar,Constituency_8,Construction of Sanitation at location 721,Sanitation,9559672.63,2023-03-13,Municipal Corporation
W-1101,MP_8,Maharashtra,Constituency_9,Construction of Education at location 214,Education,2546138.48,2023-06-28,Gram Panchayat
W-1102,MP_33,Bihar,Constituency_2,Construction of Roads at location 745,Roads,2032280.69,2023-03-18,PWD
W-1103,MP_3,Maharashtra,Constituency_11,Construction of Education at location 902,Education,18756138.8,2023-01-09,Zila Parishad
W-1104,MP_7,Bihar,Constituency_15,Construction of Education at location 84,Education,11178051.33,2023-07-27,PWD
W-1105,MP_23,Bihar,Constituency_12,Construction of Health at location 909,Health,17499779.55,2023-01-25,Municipal Corporation
W-1106,MP_19,Bihar,Constituency_18,Construction of Sanitation at location 352,Sanitation,19508466.66,2023-11-08,Gram Panchayat
W-1107,MP_4,Kerala,Constituency_5,Construction of Health at location 364,Health,10344475.2,2023-01-20,Zila Parishad
W-1108,MP_42,Uttar Pradesh,Constituency_7,Construction of Education at location 371,Education,18291085.24,2023-07-05,PWD
W-1109,MP_5,Bihar,Constituency_5,Construction of Sanitation at location 553,Sanitation,2399171.15,2023-11-14,Gram Panchayat
W-1110,MP_37,Uttar Pradesh,Constituency_3,Construction of Sanitation at location 449,Sanitation,19411510.38,2023-06-13,PWD
W-1111,MP_5,Uttar Pradesh,Constituency_1,Construction of Health at location 776,Health,18997375.42,2023-06-20,Gram Panchayat
W-1112,MP_28,Maharashtra,Constituency_12,Construction of Health at location 251,Health,1613193.69,2023-11-30,PWD
W-1113,MP_49,West Bengal,Constituency_1,Construction of Education at location 206,Education,3392692.42,2023-01-12,Gram Panchayat
W-1114,MP_38,West Bengal,Constituency_12,Construction of Health at location 151,Health,6504633.86,2023-05-06,Gram Panchayat
W-1115,MP_34,Kerala,Constituency_15,Construction of Roads at location 311,Roads,18919977.28,2023-04-29,Municipal Corporation
W-1116,MP_19,Uttar Pradesh,Constituency_1,Construction of Sanitation at location 304,Sanitation,11755112.12,2023-03-10,Gram Panchayat
W-1117,MP_4,Kerala,Constituency_11,Construction of Drinking Water at location 381,Drinking Water,6877146.65,2023-04-12,Municipal Corporation
W-1118,MP_1,Maharashtra,Constituency_15,Construction of Health at location 711,Health,14061610.53,2023-05-23,Trust
W-1119,MP_46,West Bengal,Constituency_8,Construction of Drinking Water at location 962,Drinking Water,7905822.71,2023-09-22,Zila Parishad
W-1120,MP_43,Kerala,Constituency_15,Construction of Drinking Water at location 364,Drinking Water,4317670.72,2023-01-21,Municipal Corporation
W-1121,MP_4,West Bengal,Constituency_15,Construction of Sanitation at location 141,Sanitation,2477706.15,2023-10-02,Municipal Corporation
W-1122,MP_2,Bihar,Constituency_18,Construction of Roads at location 589,Roads,16551893.3,2023-05-12,Municipal Corporation
W-1123,MP_20,Kerala,Constituency_4,Construction of Health at location 886,Health,16407098.55,2023-09-20,Gram Panchayat
W-1124,MP_10,Bihar,Constituency_15,Construction of Drinking Water at location 633,Drinking Water,18164876.54,2023-05-05,Zila Parishad
W-1125,MP_36,Maharashtra,Constituency_19,Construction of Drinking Water at location 993,Drinking Water,3483184.12,2023-08-30,Gram Panchayat
W-1126,MP_10,Uttar Pradesh,Constituency_11,Construction of Roads at location 590,Roads,12092288.54,2023-03-18,PWD
W-1127,MP_19,Maharashtra,Constituency_14,Construction of Health at location 218,Health,11778544.88,2023-04-12,Gram Panchayat
W-1128,MP_5,Uttar Pradesh,Constituency_2,Construction of Health at location 539,Health,11030232.33,2023-06-09,PWD
W-1129,MP_35,Bihar,Constituency_17,Construction of Drinking Water at location 471,Drinking Water,7004606.21,2023-10-13,Municipal Corporation
W-1130,MP_12,Bihar,Constituency_16,Construction of Roads at location 400,Roads,16011274.24,2023-05-16,Zila Parishad
W-1131,MP_22,Kerala,Constituency_6,Construction of Drinking Water at location 456,Drinking Water,17361380.74,2023-08-19,Municipal Corporation
W-1132,MP_27,Maharashtra,Constituency_2,Construction of Roads at location 969,Roads,16593079.11,2023-11-27,PWD
W-1133,MP_12,Uttar Pradesh,Constituency_10,Construction of Roads at location 42,Roads,16440269.32,2023-06-15,Zila Parishad
W-1134,MP_2,Maharashtra,Constituency_3,Construction of Education at location 130,Education,19524398.92,2023-07-25,PWD
W-1135,MP_35,Kerala,Constituency_3,Construction of Roads at location 902,Roads,13492984.27,2023-01-25,Gram Panchayat
W-1136,MP_29,Uttar Pradesh,Constituency_18,Construction of Health at location 447,Health,4712744.56,2023-06-09,PWD
W-1137,MP_9,West Bengal,Constituency_15,Construction of Education at location 905,Education,1955281.38,2023-04-09,Zila Parishad
W-1138,MP_29,Maharashtra,Constituency_7,Construction of Health at location 420,Health,17036309.76,2023-05-04,Municipal Corporation
W-1139,MP_2,Kerala,Constituency_5,Construction of Education at location 405,Education,15911585.85,2023-09-03,PWD
W-1140,MP_45,Kerala,Constituency_5,Construction of Health at location 465,Health,13098757.41,2023-07-07,Zila Parishad
W-1141,MP_42,Maharashtra,Constituency_6,Construction of Sanitation at location 554,Sanitation,19129026.39,2023-04-23,Gram Panchayat
W-1142,MP_34,Bihar,Constituency_11,Construction of Education at location 726,Education,4925811.54,2023-07-19,Zila Parishad
W-1143,MP_8,Kerala,Constituency_13,Construction of Roads at location 87,Roads,13351192.92,2023-02-12,PWD
W-1144,MP_19,Uttar Pradesh,Constituency_15,Construction of Education at location 540,Education,3895132.04,2023-02-20,Zila Parishad
W-1145,MP_40,Uttar Pradesh,Constituency_8,Construction of Roads at location 329,Roads,5480562.95,2023-02-18,PWD
W-1146,MP_13,Uttar Pradesh,Constituency_2,Construction of Sanitation at location 160,Sanitation,10654978.77,2023-12-17,Gram Panchayat
W-1147,MP_22,Uttar Pradesh,Constituency_18,Construction of Health at location 414,Health,13681654.37,2023-08-01,Municipal Corporation
W-1148,MP_21,Maharashtra,Constituency_13,Construction of Health at location 736,Health,6741166.73,2023-07-22,Gram Panchayat
W-1149,MP_13,Bihar,Constituency_12,Construction of Education at location 421,Education,14996763.83,2023-07-08,Municipal Corporation
W-1150,MP_16,Kerala,Constituency_10,Construction of Roads at location 876,Roads,17688290.2,2023-09-18,PWD
W-1151,MP_13,Bihar,Constituency_16,Construction of Roads at location 500,Roads,17036931.93,2023-03-27,Zila Parishad
W-1152,MP_47,West Bengal,Constituency_4,Construction of Sanitation at location 132,Sanitation,15717795.63,2023-01-20,Trust
W-1153,MP_20,Uttar Pradesh,Constituency_13,Construction of Roads at location 119,Roads,9878971.35,2023-03-12,Zila Parishad
W-1154,MP_31,Bihar,Constituency_19,Construction of Health at location 60,Health,12911567.7,2023-11-01,Zila Parishad
W-1155,MP_33,Kerala,Constituency_17,Construction of Drinking Water at location 831,Drinking Water,1719573.42,2023-04-26,PWD
W-1156,MP_14,West Bengal,Constituency_15,Construction of Health at location 75,Health,11651509.29,2023-12-25,Gram Panchayat
W-1157,MP_45,Kerala,Constituency_17,Construction of Education at location 757,Education,8878307.85,2023-02-04,Zila Parishad
W-1158,MP_24,Bihar,Constituency_1,Construction of Roads at location 612,Roads,1616964.9,2023-11-22,PWD
W-1159,MP_28,Uttar Pradesh,Constituency_3,Construction of Drinking Water at location 848,Drinking Water,8863294.14,2023-07-01,Municipal Corporation
W-1160,MP_33,Bihar,Constituency_4,Construction of Education at location 519,Education,18046750.24,2023-03-11,Zila Parishad
W-1161,MP_37,Kerala,Constituency_14,Construction of Drinking Water at location 21,Drinking Water,3326818.91,2023-03-23,Zila Parishad
W-1162,MP_42,Maharashtra,Constituency_4,Construction of Roads at location 327,Roads,11443844.37,2023-03-27,Gram Panchayat
W-1163,MP_6,Maharashtra,Constituency_2,Construction of Drinking Water at location 577,Drinking Water,3732603.53,2023-11-26,Municipal Corporation
W-1164,MP_40,Uttar Pradesh,Constituency_15,Construction of Health at location 571,Health,19572205.45,2023-05-18,PWD
W-1165,MP_40,Uttar Pradesh,Constituency_15,Construction of Sanitation at location 79,Sanitation,3651586.32,2023-08-02,PWD
W-1166,MP_33,West Bengal,Constituency_12,Construction of Drinking Water at location 227,Drinking Water,7752687.02,2023-09-19,Zila Parishad
W-1167,MP_37,Uttar Pradesh,Constituency_4,Construction of Sanitation at location 72,Sanitation,13032155.82,2023-02-24,PWD
W-1168,MP_43,West Bengal,Constituency_18,Construction of Roads at location 220,Roads,1150980.23,2023-05-09,PWD
W-1169,MP_11,West Bengal,Constituency_12,Construction of Roads at location 575,Roads,19690151.22,2023-04-19,Municipal Corporation
W-1170,MP_4,Maharashtra,Constituency_1,Construction of Roads at location 916,Roads,2048428.4,2023-06-03,Municipal Corporation
W-1171,MP_44,West Bengal,Constituency_15,Construction of Health at location 457,Health,5459278.63,2023-08-01,PWD
W-1172,MP_41,West Bengal,Constituency_2,Construction of Education at location 943,Education,15102113.57,2023-12-04,Municipal Corporation
W-1173,MP_20,West Bengal,Constituency_1,Construction of Sanitation at location 272,Sanitation,6640931.98,2023-03-07,Gram Panchayat
W-1174,MP_4,Maharashtra,Constituency_3,Construction of Drinking Water at location 921,Drinking Water,6453558.2,2023-10-30,Gram Panchayat
W-1175,MP_33,Uttar Pradesh,Constituency_19,Construction of Education at location 219,Education,8100308.05,2023-04-01,Municipal Corporation
W-1176,MP_25,West Bengal,Constituency_17,Construction of Drinking Water at location 614,Drinking Water,2985352.21,2023-08-03,Zila Parishad
W-1177,MP_47,Maharashtra,Constituency_19,Construction of Health at location 398,Health,14221876.56,2023-04-30,Gram Panchayat
W-1178,MP_30,West Bengal,Constituency_14,Construction of Roads at location 708,Roads,17606169.41,2023-03-09,Zila Parishad
W-1179,MP_46,Maharashtra,Constituency_11,Construction of Drinking Water at location 469,Drinking Water,13347088.87,2023-09-12,Zila Parishad
W-1180,MP_23,Maharashtra,Constituency_13,Construction of Health at location 438,Health,9556448.11,2023-03-17,Gram Panchayat
W-1181,MP_4,Uttar Pradesh,Constituency_19,Construction of Health at location 540,Health,7997970.89,2023-09-17,Municipal Corporation
W-1182,MP_12,Maharashtra,Constituency_17,Construction of Drinking Water at location 283,Drinking Water,5157704.88,2023-05-16,PWD
W-1183,MP_13,Kerala,Constituency_17,Construction of Sanitation at location 998,Sanitation,649448.64,2023-02-18,Gram Panchayat
W-1184,MP_9,Bihar,Constituency_9,Construction of Sanitation at location 817,Sanitation,16455030.04,2023-02-10,PWD
W-1185,MP_44,Kerala,Constituency_8,Construction of Education at location 332,Education,18198414.55,2023-03-13,PWD
W-1186,MP_47,West Bengal,Constituency_13,Construction of Roads at location 687,Roads,13888503.31,2023-12-06,Municipal Corporation
W-1187,MP_12,Uttar Pradesh,Constituency_1,Construction of Drinking Water at location 755,Drinking Water,15122089.91,2023-05-23,Trust
W-1188,MP_39,Bihar,Constituency_9,Construction of Health at location 771,Health,12938603.31,2023-03-25,PWD
W-1189,MP_15,Maharashtra,Constituency_13,Construction of Drinking Water at location 357,Drinking Water,16256441.28,2023-08-01,Gram Panchayat
W-1190,MP_45,Bihar,Constituency_3,Construction of Roads at location 949,Roads,12010568.09,2023-05-02,Municipal Corporation
W-1191,MP_33,Bihar,Constituency_4,Construction of Drinking Water at location 440,Drinking Water,8895322.1,2023-06-05,Gram Panchayat
W-1192,MP_47,Bihar,Constituency_11,Construction of Education at location 126,Education,2474568.33,2023-11-01,PWD
W-1193,MP_5,Uttar Pradesh,Constituency_13,Construction of Education at location 579,Education,3147886.42,2023-03-16,Zila Parishad
W-1194,MP_15,West Bengal,Constituency_6,Construction of Sanitation at location 542,Sanitation,2764709.72,2023-05-02,Gram Panchayat
W-1195,MP_45,Kerala,Constituency_17,Construction of Health at location 69,Health,9818629.74,2023-06-14,PWD
W-1196,MP_21,Kerala,Constituency_17,Construction of Health at location 533,Health,16698425.96,2023-10-27,Gram Panchayat
W-1197,MP_17,West Bengal,Constituency_19,Construction of Education at location 764,Education,12656416.18,2023-12-04,Gram Panchayat
W-1198,MP_27,Uttar Pradesh,Constituency_19,Construction of Sanitation at location 866,Sanitation,7392484.44,2023-09-24,Zila Parishad
W-1199,MP_19,Uttar Pradesh,Constituency_17,Construction of Drinking Water at location 304,Drinking Water,9926445.0,2023-04-18,Municipal Corporation
W-1200,MP_17,Maharashtra,Constituency_18,Construction of Education at location 949,Education,8447892.07,2023-08-07,Gram Panchayat
W-1201,MP_49,Kerala,Constituency_17,Construction of Roads at location 864,Roads,1717923.08,2023-11-24,Zila Parishad
W-1202,MP_3,Kerala,Constituency_11,Construction of Drinking Water at location 810,Drinking Water,6338213.97,2023-11-16,Municipal Corporation
W-1203,MP_7,Bihar,Constituency_8,Construction of Education at location 65,Education,16765819.64,2023-10-19,Zila Parishad
W-1204,MP_2,Maharashtra,Constituency_3,Construction of Roads at location 802,Roads,8438576.54,2023-09-17,PWD
W-1205,MP_19,Kerala,Constituency_13,Construction of Education at location 358,Education,13794098.56,2023-01-16,PWD
W-1206,MP_31,Kerala,Constituency_15,Construction of Health at location 290,Health,8325467.47,2023-10-22,Gram Panchayat
W-1207,MP_19,Kerala,Constituency_19,Construction of Roads at location 281,Roads,4162935.62,2023-08-02,PWD
W-1208,MP_24,Bihar,Constituency_14,Construction of Health at location 205,Health,15619249.93,2023-02-28,Gram Panchayat
W-1209,MP_32,Maharashtra,Constituency_18,Construction of Roads at location 343,Roads,16867100.6,2023-03-29,Zila Parishad
W-1210,MP_43,West Bengal,Constituency_1,Construction of Education at location 137,Education,6610284.39,2023-06-11,Zila Parishad
W-1211,MP_27,Bihar,Constituency_1,Construction of Roads at location 632,Roads,3755585.23,2023-06-24,Gram Panchayat
W-1212,MP_19,Maharashtra,Constituency_19,Construction of Health at location 293,Health,2543757.27,2023-10-25,PWD
W-1213,MP_41,West Bengal,Constituency_7,Construction of Sanitation at location 210,Sanitation,16532507.79,2023-08-17,Gram Panchayat
W-1214,MP_24,Kerala,Constituency_9,Construction of Health at location 274,Health,6654733.2,2023-01-03,Zila Parishad
W-1215,MP_44,Maharashtra,Constituency_10,Construction of Sanitation at location 586,Sanitation,5216833.23,2023-02-15,Municipal Corporation
W-1216,MP_25,Uttar Pradesh,Constituency_11,Construction of Health at location 378,Health,8254127.8,2023-07-07,PWD
W-1217,MP_37,Kerala,Constituency_2,Construction of Sanitation at location 665,Sanitation,14911017.88,2023-02-02,Gram Panchayat
W-1218,MP_32,Uttar Pradesh,Constituency_9,Construction of Education at location 776,Education,12319858.02,2023-08-13,Gram Panchayat
W-1219,MP_15,Bihar,Constituency_13,Construction of Health at location 471,Health,11853070.82,2023-08-06,Municipal Corporation
W-1220,MP_7,Maharashtra,Constituency_12,Construction of Drinking Water at location 441,Drinking Water,17020291.56,2023-01-26,Zila Parishad
W-1221,MP_47,Uttar Pradesh,Constituency_17,Construction of Health at location 102,Health,14637132.81,2023-08-04,Zila Parishad
W-1222,MP_27,Maharashtra,Constituency_6,Construction of Drinking Water at location 15,Drinking Water,10261769.64,2023-08-12,PWD
W-1223,MP_44,West Bengal,Constituency_8,Construction of Sanitation at location 235,Sanitation,16951168.45,2023-04-18,PWD
W-1224,MP_26,Uttar Pradesh,Constituency_16,Construction of Roads at location 332,Roads,9449787.85,2023-05-19,Zila Parishad
W-1225,MP_43,Kerala,Constituency_17,Construction of Education at location 245,Education,19557504.21,2023-12-02,Municipal Corporation
W-1226,MP_20,West Bengal,Constituency_17,Construction of Drinking Water at location 854,Drinking Water,10228465.46,2023-04-03,Zila Parishad
W-1227,MP_40,Bihar,Constituency_10,Construction of Drinking Water at location 567,Drinking Water,5449511.02,2023-04-01,Gram Panchayat
